	PNSR	SSIM	MSE
0	26.346355	0.8266351	0.009277357
1	27.726723	0.74413836	0.0067513026
2	26.929043	0.78820777	0.008112517
3	31.263296	0.88348126	0.0029904062
4	29.32061	0.7724583	0.0046773395
5	22.467672	0.7749602	0.02266171
6	23.845272	0.6941908	0.016501851
7	25.075914	0.7118113	0.012429923
8	22.373396	0.85668176	0.02315902
9	29.640522	0.9110325	0.0043451795
10	24.2385	0.7669744	0.015073352
11	30.209639	0.41568652	0.003811501
12	30.566652	0.8477069	0.003510707
13	30.138296	0.8423003	0.0038746295
14	19.622602	0.89965844	0.043631464
15	23.994995	0.5754873	0.015942646
16	28.913534	0.85002613	0.0051369625
17	23.120245	0.6512854	0.019500032
18	30.69562	0.8476058	0.0034079868
19	20.924234	0.6174063	0.032332294
20	25.452444	0.57615846	0.011397656
21	26.682798	0.78942996	0.008585783
22	28.495146	0.8477283	0.0056564678
23	27.08786	0.85940754	0.007821208
24	27.443941	0.595908	0.0072055245
25	38.4681	0.5409804	0.0005691803
26	31.412155	0.88033885	0.0028896444
27	23.369814	0.62366563	0.018411048
28	21.574232	0.7559012	0.027837917
29	27.787035	0.6841049	0.006658193
30	18.491673	0.020481648	0.05660995
31	28.373976	0.75283575	0.005816509
32	27.47437	0.79177743	0.00715522
33	29.468012	0.81088096	0.0045212517
34	26.06188	0.7385952	0.009905396
35	30.707188	0.8667274	0.003398921
36	27.47061	0.7195742	0.007161415
37	28.39566	0.7697275	0.0057875365
38	30.119318	0.7997894	0.0038915977
39	13.699823	0.0068674814	0.17063871
40	29.264738	0.8151849	0.004737901
41	22.296127	0.8445977	0.02357475
42	27.41431	0.76866376	0.0072548566
43	24.476637	0.6469248	0.014269086
44	26.1181	0.8267274	0.009777997
45	27.952095	0.78003883	0.0064098854
46	27.164497	0.78013235	0.007684403
47	30.358248	0.82166743	0.0036832816
48	28.597006	0.7819091	0.0055253436
49	26.906487	0.71069115	0.008154761
50	30.360247	0.82066065	0.0036815873
51	29.604765	0.831408	0.0043811006
52	25.7309	0.80678314	0.010689808
53	29.506233	0.8917368	0.004481636
54	27.492964	0.8113161	0.007124648
55	23.43656	0.7991403	0.018130254
56	33.720398	0.7431723	0.0016983226
57	27.808851	0.6653842	0.006624829
58	29.242472	0.84858507	0.0047622547
59	30.047739	0.8375096	0.0039562704
60	29.26435	0.7910829	0.004738324
61	24.782587	0.2605961	0.0132984575
62	29.123217	0.82701206	0.0048948377
63	28.619595	0.8329346	0.005496677
64	28.810844	0.7791171	0.0052598743
65	27.242496	0.8657977	0.007547623
66	28.659586	0.96358305	0.005446296
67	24.194904	0.6710487	0.015225426
68	25.213861	0.65439147	0.012041306
69	24.211824	0.6712456	0.015166222
70	27.979317	0.8019242	0.006369835
71	30.265083	0.7689952	0.003763149
72	26.902775	0.90282434	0.008161735
73	24.034521	0.63421696	0.015798206
74	27.23076	0.78235525	0.0075680465
75	28.491735	0.79083794	0.00566091
76	23.441332	0.6985216	0.018110342
77	31.80876	0.93848634	0.0026374487
78	24.8148	0.6940747	0.013200184
79	30.201874	0.8712345	0.0038183206
80	27.682213	0.8769924	0.006820851
81	27.381647	0.6896297	0.007309626
82	19.623857	0.7107958	0.04361885
83	22.040062	0.85731506	0.025006544
84	28.53384	0.89623916	0.005606292
85	26.97482	0.7215826	0.008027457
86	25.68888	0.6509886	0.010793736
87	29.464945	0.87673175	0.004524445
88	25.485163	0.75601226	0.01131211
89	38.4681	0.5409804	0.0005691803
90	25.992157	0.80108804	0.010065702
91	21.659636	0.62553096	0.027295835
92	26.658442	0.83509755	0.008634074
93	37.300785	0.75015724	0.00074469997
94	23.817558	0.6924061	0.01660749
95	27.420929	0.69576275	0.0072438107
96	26.98392	0.6357386	0.008010654
97	32.331448	0.94956756	0.0023383803
98	29.78701	0.787153	0.0042010583
99	26.0266	0.7690345	0.009986188
