	PNSR	SSIM	MSE
0	27.993507	0.7999533	0.0063490546
1	28.820026	0.8165085	0.005248764
2	28.92563	0.8591857	0.0051226765
3	31.865055	0.89659584	0.0026034797
4	30.076855	0.84783274	0.003929835
5	21.315926	0.72963125	0.029543864
6	24.08421	0.7566436	0.015618483
7	25.19108	0.7146874	0.012104642
8	24.030807	0.88525075	0.015811726
9	34.369698	0.9461064	0.0014624804
10	23.808584	0.77710146	0.016641844
11	26.523273	0.05546527	0.00890702
12	28.502127	0.8735544	0.005647381
13	30.438902	0.88260794	0.0036155097
14	20.329401	0.9231114	0.03707829
15	25.233074	0.66399884	0.011988153
16	26.270998	0.79401684	0.0094397385
17	26.705303	0.8363416	0.008541411
18	29.591515	0.8976871	0.0043944903
19	25.990442	0.79915774	0.010069679
20	27.00928	0.6323946	0.007964013
21	28.5286	0.85454786	0.00561306
22	31.036993	0.9037707	0.003150362
23	31.64784	0.9034807	0.0027370055
24	28.128002	0.65556073	0.006155448
25	28.1835	0.05815043	0.0060772896
26	31.849003	0.91579896	0.0026131219
27	24.545763	0.6843845	0.014043764
28	22.5323	0.8021044	0.022326969
29	28.32852	0.75062436	0.005877708
30	15.09206	0.003831153	0.12383798
31	28.713835	0.7935114	0.005378687
32	30.545534	0.8817987	0.0035278192
33	30.413214	0.8813536	0.0036369604
34	25.87999	0.76810795	0.010329062
35	33.16734	0.90557826	0.001928972
36	27.717983	0.8226475	0.0067649037
37	28.651546	0.8063586	0.0054563875
38	32.828266	0.8921227	0.0020856115
39	11.961541	0.00152086	0.25462782
40	30.940725	0.8796351	0.0032209745
41	23.647617	0.86861783	0.017270228
42	26.991663	0.7900242	0.007996382
43	23.74858	0.6316471	0.016873363
44	26.11445	0.8477431	0.009786213
45	29.117956	0.8326528	0.004900769
46	29.687475	0.85078704	0.004298455
47	31.892303	0.8848442	0.0025871964
48	29.10156	0.8408156	0.0049193036
49	28.090475	0.7756176	0.006208866
50	28.699865	0.8362872	0.005396018
51	30.856173	0.8624448	0.0032842986
52	27.150612	0.8348819	0.007709011
53	31.400414	0.9150742	0.002897467
54	28.107769	0.86474377	0.006184191
55	24.68504	0.82835066	0.013600531
56	32.93591	0.5138074	0.0020345524
57	29.6626	0.739688	0.0043231472
58	29.378328	0.88453287	0.004615588
59	32.354126	0.90042746	0.002326202
60	29.753483	0.86351216	0.0042336155
61	20.432703	0.033620432	0.036206767
62	31.187525	0.878437	0.0030430378
63	28.357504	0.8780805	0.005838611
64	29.005396	0.84174925	0.005029448
65	29.349102	0.9198429	0.0046467544
66	30.871065	0.9711266	0.003273054
67	24.028189	0.6739822	0.01582126
68	24.19926	0.61342996	0.015210165
69	23.893951	0.74648225	0.016317923
70	30.406359	0.8861573	0.0036427043
71	31.139894	0.8362882	0.0030765948
72	32.352715	0.910622	0.0023269588
73	26.033318	0.72549164	0.009970754
74	29.917997	0.86123836	0.004076242
75	30.96191	0.86998546	0.0032053003
76	25.645695	0.87788785	0.010901602
77	32.37257	0.943468	0.0023163427
78	25.486057	0.7933062	0.01130978
79	29.221304	0.89777124	0.0047855247
80	35.25158	0.9213933	0.0011937185
81	28.65922	0.7723325	0.005446756
82	23.275572	0.770658	0.018814936
83	22.569548	0.86080253	0.022136305
84	31.688797	0.91630346	0.0027113154
85	28.576002	0.79205906	0.0055521317
86	25.228167	0.68800676	0.012001709
87	33.109936	0.8959137	0.001954638
88	25.379465	0.8075074	0.0115907965
89	28.1835	0.05815043	0.0060772896
90	27.122175	0.8509313	0.007759655
91	27.62763	0.80897605	0.006907118
92	28.962275	0.82941395	0.0050796354
93	34.62151	0.3325642	0.0013800946
94	25.083994	0.73819476	0.012406819
95	28.333158	0.7570217	0.005871431
96	28.522264	0.71177524	0.0056212563
97	33.091347	0.951232	0.0019630217
98	29.466736	0.8406513	0.0045225797
99	25.60605	0.86944515	0.011001572
