	PNSR	SSIM	MSE
0	26.232767	0.72635525	0.0095232045
1	23.298697	0.61570317	0.018715017
2	25.64355	0.7084802	0.010906988
3	29.443974	0.818395	0.004546345
4	28.014109	0.7715899	0.0063190097
5	18.495665	0.49053025	0.056557927
6	21.467722	0.64250565	0.02852908
7	23.352943	0.61329	0.0184827
8	16.968096	0.7037006	0.08039896
9	28.655003	0.8946057	0.0054520457
10	20.458216	0.6780183	0.035994675
11	26.750862	0.07749772	0.008452274
12	27.744213	0.8054702	0.0067241667
13	29.59773	0.7904426	0.004388203
14	26.241358	0.955284	0.009504383
15	21.46261	0.5968477	0.028562672
16	25.930859	0.817408	0.010208782
17	24.179996	0.7237447	0.015277774
18	30.601706	0.8511775	0.0034824866
19	24.411444	0.68174684	0.014484897
20	23.656847	0.43694806	0.017233565
21	21.624582	0.6116415	0.027517032
22	27.789194	0.8090132	0.006654883
23	28.041805	0.8261899	0.006278836
24	26.290642	0.5553713	0.009397142
25	28.043144	0.11189459	0.006276904
26	25.96453	0.8283613	0.010129933
27	22.094275	0.5795598	0.024696328
28	16.544647	0.5933169	0.088632956
29	25.392078	0.63892525	0.011557184
30	15.694092	0.008316208	0.10780796
31	26.93337	0.6526532	0.008104434
32	27.192022	0.7530942	0.007635854
33	29.35058	0.78375286	0.0046451716
34	22.339882	0.6308106	0.023338433
35	30.134945	0.8248866	0.0038776207
36	27.009478	0.6967988	0.007963646
37	25.911118	0.6867634	0.010255294
38	29.250994	0.83795625	0.004752919
39	12.450197	0.005481501	0.22753082
40	27.850092	0.75921816	0.006562218
41	16.869476	0.6873766	0.082245514
42	24.303532	0.695458	0.014849324
43	24.023886	0.6041702	0.015836943
44	28.449116	0.77471876	0.0057167374
45	24.86613	0.7080277	0.013045086
46	27.053226	0.7329118	0.007883827
47	30.949701	0.8463418	0.0032143248
48	26.28219	0.72115296	0.009415446
49	25.752197	0.63013995	0.010637515
50	28.540672	0.80797803	0.0055974796
51	28.41116	0.7572087	0.00576692
52	23.607517	0.7234868	0.017430428
53	28.053743	0.85078907	0.006261604
54	28.875137	0.7914015	0.0051825815
55	18.38706	0.6633331	0.05799012
56	29.154455	0.40536997	0.004859754
57	28.586302	0.7360668	0.0055389768
58	29.59999	0.8162974	0.004385921
59	30.028713	0.80418915	0.003973639
60	26.82253	0.7400578	0.008313937
61	22.562853	0.044862214	0.02217045
62	29.393038	0.77380973	0.004599983
63	30.184864	0.8134454	0.0038333056
64	27.735157	0.7611664	0.0067382045
65	26.320442	0.8496032	0.0093328785
66	20.588207	0.8834098	0.03493326
67	21.242544	0.57066965	0.030047305
68	24.560362	0.534404	0.013996638
69	25.531511	0.7618454	0.011192026
70	27.48759	0.73970175	0.007133466
71	28.473598	0.7474301	0.0056846016
72	28.39596	0.8136963	0.005787138
73	25.543398	0.6650769	0.011161436
74	26.11458	0.7465663	0.009785927
75	28.058144	0.78503495	0.0062552625
76	28.750788	0.8665567	0.0053331153
77	27.989782	0.9071603	0.006354505
78	20.9969	0.5783598	0.0317958
79	30.420263	0.8175995	0.0036310619
80	29.638178	0.89374065	0.0043475255
81	25.89514	0.591449	0.010293096
82	25.202482	0.74221754	0.0120729
83	16.555784	0.6962312	0.08840597
84	29.404848	0.8458976	0.0045874896
85	24.720055	0.6383046	0.0134913195
86	23.925371	0.6422702	0.016200282
87	30.311169	0.832833	0.0037234277
88	24.327724	0.70837605	0.014766833
89	28.043144	0.11189459	0.006276904
90	25.330666	0.74846673	0.011721772
91	23.524105	0.81805193	0.017768443
92	22.686966	0.7805413	0.021545827
93	31.136719	0.36060324	0.0030788458
94	18.587135	0.58731407	0.055379167
95	24.873787	0.5202078	0.013022108
96	27.059954	0.6477947	0.007871625
97	28.016417	0.8936616	0.0063156504
98	29.168991	0.7539809	0.004843516
99	31.6709	0.895399	0.002722511
