	PNSR	SSIM	MSE
0	27.846134	0.7941543	0.006568201
1	28.997314	0.75190884	0.0050388146
2	26.610704	0.7598413	0.008729504
3	33.047096	0.8957704	0.0019831264
4	29.668592	0.7917432	0.004317184
5	23.060888	0.761191	0.019768378
6	24.956709	0.7345032	0.012775825
7	25.526392	0.73304856	0.011205224
8	26.71107	0.9245284	0.008530078
9	34.40293	0.9281515	0.0014513324
10	23.642376	0.7685338	0.017291088
11	26.193663	0.059589736	0.009609341
12	32.39806	0.8674219	0.0023027882
13	32.013943	0.8556039	0.00251574
14	18.938543	0.8892591	0.051074687
15	24.491224	0.57684165	0.014221234
16	24.31017	0.75211906	0.014826644
17	24.817022	0.7203888	0.013193432
18	32.29278	0.8689828	0.0023592925
19	22.870914	0.6965702	0.0206523
20	26.130795	0.601409	0.009749456
21	26.25568	0.76329637	0.009473093
22	31.044317	0.8715596	0.003145054
23	30.469183	0.8770522	0.0035903896
24	27.132418	0.62287563	0.007741374
25	21.903124	0.013786306	0.025807591
26	30.00557	0.8904732	0.0039948714
27	24.517954	0.68937826	0.014133983
28	24.275066	0.82185197	0.014946973
29	27.454792	0.6947769	0.0071875486
30	17.263329	0.00968863	0.07511507
31	27.963823	0.74351186	0.0063926005
32	29.537876	0.82858557	0.0044491007
33	31.510778	0.83867645	0.002824763
34	25.518562	0.7312451	0.011225449
35	33.67641	0.8793076	0.0017156111
36	28.702986	0.7583921	0.0053921426
37	25.00201	0.72004044	0.012643254
38	30.61358	0.8188545	0.003472976
39	12.729206	0.0017054038	0.21337292
40	29.728977	0.82311946	0.0042575737
41	26.073847	0.91173905	0.00987814
42	28.113726	0.79293567	0.006175717
43	25.274706	0.6636892	0.011873789
44	30.128326	0.8547009	0.003883534
45	26.441275	0.7587855	0.00907679
46	27.806974	0.796449	0.0066276933
47	31.452316	0.8437422	0.0028630458
48	27.621298	0.7643861	0.0069171954
49	26.891563	0.729377	0.008182827
50	29.685629	0.8268791	0.0043002823
51	30.805819	0.8458447	0.0033225985
52	26.462513	0.82865906	0.009032509
53	32.19132	0.91131216	0.002415062
54	29.511312	0.8334233	0.004476396
55	27.144455	0.88688636	0.007719945
56	23.667788	0.1960876	0.017190205
57	28.648806	0.6764338	0.005459833
58	31.680914	0.86649984	0.0027162419
59	32.259502	0.8572442	0.0023774402
60	29.398693	0.8100445	0.0045939954
61	22.690613	0.03286492	0.021527749
62	31.498365	0.8444255	0.0028328486
63	31.005743	0.8533398	0.0031731133
64	29.785751	0.7988794	0.0042022774
65	27.385134	0.88136107	0.0073037622
66	38.15159	0.9815421	0.00061221106
67	24.3342	0.63895506	0.014744831
68	26.095228	0.6723628	0.009829623
69	25.194618	0.6771438	0.012094781
70	30.220284	0.83187395	0.0038021682
71	30.144884	0.78619677	0.0038687573
72	31.518097	0.91572106	0.002820007
73	25.28142	0.6668467	0.011855444
74	28.36411	0.8174066	0.0058297343
75	29.626715	0.8164611	0.0043590143
76	24.404661	0.72264916	0.014507536
77	32.974567	0.9311753	0.0020165234
78	25.0123	0.77129984	0.012613332
79	31.987087	0.8848203	0.0025313443
80	32.730183	0.8863985	0.0021332481
81	26.027586	0.6757477	0.009983923
82	23.644764	0.7629953	0.017281584
83	24.853344	0.9058478	0.013083545
84	32.690907	0.9109859	0.002152629
85	26.987202	0.7278234	0.008004603
86	25.216919	0.6584594	0.012032835
87	33.157574	0.90094775	0.0019333158
88	26.675562	0.7740426	0.008600103
89	21.903124	0.013786306	0.025807591
90	27.287666	0.81301105	0.007469526
91	24.860657	0.7038715	0.013061535
92	28.707853	0.8054977	0.0053861
93	22.706726	0.015361288	0.021448024
94	26.181301	0.7793898	0.00963673
95	24.635206	0.6391411	0.01375749
96	27.766407	0.65805805	0.006689892
97	34.15073	0.9562409	0.0015381074
98	31.097548	0.8096855	0.0031067408
99	24.586662	0.79001033	0.013912126
